Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Maruti Baleno ALPHA CVT PETROL 1.2,Baleno ALPHA CVT PETROL 1.2,Maruti,2019,Petrol,"65,568",Automatic,₹6.86 Lakh,Bangalore
Hyundai Eon D-LITE+,Eon D-LITE+,Hyundai,2015,Petrol,"71,802",Manual,₹2.60 Lakh,Bangalore
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2014,Petrol,"80,602",Manual,₹4.16 Lakh,Bangalore
Maruti Ciaz ZXI,Ciaz ZXI,Maruti,2016,Petrol,"68,199",Manual,₹6.73 Lakh,Bangalore
Maruti Celerio ZXI AMT (O),Celerio ZXI AMT (O),Maruti,2016,Petrol,"39,987",Automatic,₹4.47 Lakh,Bangalore
Hyundai NEW I20 SPORTZ 1.2 MT DUAL TONE,NEW I20 SPORTZ 1.2 MT DUAL TONE,Hyundai,2022,Petrol,"38,428",Manual,₹8.45 Lakh,Bangalore
Tata Tiago XZA PETROL,Tiago XZA PETROL,Tata,2017,Petrol,"57,920",Automatic,₹4.61 Lakh,Bangalore
Toyota Glanza G CVT,Glanza G CVT,Toyota,2021,Petrol,"28,290",Automatic,₹8.02 Lakh,Bangalore
Maruti Ciaz ZXI AT,Ciaz ZXI AT,Maruti,2016,Petrol,"66,695",Automatic,₹6.29 Lakh,Bangalore
Mahindra XUV500 W6,XUV500 W6,Mahindra,2018,Diesel,"80,292",Manual,₹10.98 Lakh,Bangalore
Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,Grand i10 ASTA (O) 1.2 KAPPA VTVT,Hyundai,2015,Petrol,"99,767",Manual,₹4.19 Lakh,Bangalore
Hyundai Eon ERA +,Eon ERA +,Hyundai,2013,Petrol,"59,056",Manual,₹2.72 Lakh,Bangalore
Hyundai Elite i20 MAGNA 1.2,Elite i20 MAGNA 1.2,Hyundai,2015,Petrol,"74,832",Manual,₹4.96 Lakh,Bangalore
Honda WR-V 1.2L I-VTEC VX MT,WR-V 1.2L I-VTEC VX MT,Honda,2017,Petrol,"46,215",Manual,₹6.92 Lakh,Bangalore
KIA SONET GTX PLUS 1.0 IMT,SONET GTX PLUS 1.0 IMT,KIA,2020,Petrol,"31,141",Manual,₹11.33 Lakh,Bangalore
Maruti Ciaz ZXI AT,Ciaz ZXI AT,Maruti,2015,Petrol,"83,683",Automatic,₹4.80 Lakh,Bangalore
Mahindra XUV300 W4 1.2 PETROL,XUV300 W4 1.2 PETROL,Mahindra,2023,Petrol,"6,978",Manual,₹9.38 Lakh,Bangalore
Mahindra TUV300 T8,TUV300 T8,Mahindra,2016,Diesel,"54,242",Manual,₹6.67 Lakh,Bangalore
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2016,Petrol,"44,237",Automatic,₹3.98 Lakh,Bangalore
Volkswagen Vento HIGHLINE 1.6 MPI,Vento HIGHLINE 1.6 MPI,Volkswagen,2014,Petrol,"85,997",Manual,₹5.23 Lakh,Bangalore
Nissan Micra Active XV,Micra Active XV,Nissan,2016,Petrol,"87,764",Manual,₹3.62 Lakh,Bangalore
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2017,Petrol,"40,475",Automatic,₹10.25 Lakh,Bangalore
Renault Kwid CLIMBER 1.0 (O),Kwid CLIMBER 1.0 (O),Renault,2020,Petrol,"18,244",Manual,₹4.60 Lakh,Bangalore
Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,Hyundai,2020,Petrol,"9,281",Manual,₹6.31 Lakh,Bangalore
Maruti Celerio VXI AMT (O),Celerio VXI AMT (O),Maruti,2016,Petrol,"38,929",Automatic,₹4.73 Lakh,Bangalore
Honda Jazz 1.2L I-VTEC VX,Jazz 1.2L I-VTEC VX,Honda,2016,Petrol,"62,722",Manual,₹5.32 Lakh,Bangalore
